_key,name,lat,lon
1,Plaza Obispo Galarza,39.47559136570992,-6.373467191706517
2,Barrio Nuevo (Colegio Las Delicias),39.47914755148875,-6.374960841818957
3,Av. Hernan Cortes (frente num38),39.476363035739496,-6.379715354442863
4,Gral. Primo de Rivera (frente a Multiples),39.471954504824055,-6.377974556307602
5,"Av. de Alemania, 2",39.46777914879269,-6.379781844336607
6,Av. de Alemania (Parque),39.464962046257995,-6.381898266567715
7,"Av. de Alemania, 54 (Estacion FF.CC.)",39.46267686822268,-6.383634297071941
8,Av. Constitucion (Glorieta del Minero pares),39.45267487876631,-6.387541600128395
14,Rio Rodano (Bda. de la Abundancia),39.4522708192591,-6.391612250268756
15,A. Moret (cruce c/ Danubio),39.45187649823081,-6.38969798923246
16,Jesus Nazareno (fte. num 47),39.450692114605474,-6.3895098411692
17,"Av. Constitucion, fte.2 (junto Gta. del Minero)",39.452059138765186,-6.3874019421137795
18,"Av. de Alemania, 45 (Gasolinera)",39.46283874080286,-6.38322145471946
19,"Av. de Alemania, 27 (frente a Parque)",39.464769358232594,-6.3817427763152885
20,Plaza de America (cruce Av.Espana impares),39.46869563048008,-6.378875709287282
21,"Av. Espana, 1",39.47229349623467,-6.376229881052691
22,Bda. Mejostilla (c/ A. Mariscal fte 5),39.49027636527214,-6.3639501376353875
23,Ana Mariscal (fte. cruce c/ Gonzalo Mingo),39.49155037189749,-6.362925329196153
24,"Simon Benito Boxoyo, 92",39.49174612470033,-6.3616273328003325
25,"Simon Benito Boxoyo, 2",39.48966732652246,-6.359345747740488
26,"Av. Heroes de Baler, 31",39.485933500518215,-6.362730731439491
27,"Av. Heroes de Baler, 23",39.483640617501564,-6.3653052839517485
28,"Av. Heroes de Baler, 5",39.48182878409214,-6.367245375236906
29,Av. Delicias (Plaza Toros),39.48029069561785,-6.3749178411783
30,"Av. Antonio Hurtado, 4",39.46779796503116,-6.378618835645927
31,Av. I. Moctezuma (Colegio Enfermeria),39.46571299935667,-6.379243382294072
32,Av. I.Moctezuma (Colegio G. de los Rios),39.46358285967575,-6.3794628019518616
33,Av. I. Moctezuma (Palacio de Congresos),39.461326178040345,-6.379663708972715
34,Av. Hispanidad (Pabellon Multiusos),39.46077049209889,-6.378592105878738
35,Rda. Pizarra pares,39.458411677575604,-6.377460393483707
36,"Av. Dulcinea,25 (cruce Rda. Pizarra)",39.456159295158095,-6.376255028863307
37,Av. Bondad (fte. 44),39.45769796916574,-6.3749769852447695
38,"Av. Bondad, 27 (cruce C/ Colombia)",39.459455819602276,-6.3750271279859225
39,Colombia impares (cruce C/ Ecuador),39.45946012518561,-6.372028587023294
40,"Espiritu Santo (c/ R. Sur Yon, 5)",39.46068541970131,-6.370041632302071
41,Colombia pares (cruce C/ Ecuador),39.45945558751082,-6.372226325340091
42,Av. Bondad (fte. 29),39.45925377559729,-6.375255532578065
43,"Av. Bondad, 54",39.457430032125565,-6.375080026177086
44,"Av. Dulcinea, fte. 25 (cruce Rda. Pizarra)",39.45642583385681,-6.376489059699348
45,Rda. Pizarra impares,39.458550717957884,-6.377234364191907
46,Av. I. de Moctezuma (fte. a P. Congresos),39.46146469880034,-6.379414449784893
47,"Av. Isabel de Moctezuma,15",39.46399010599025,-6.379145335864107
48,Av. I. Moctezuma (fte. Colegio Enfermeria),39.46530192241043,-6.3789914921520685
